time="2022-11-18T18:36:52+05:30" level=info msg="# playfiles selected for load-testing: 1"
time="2022-11-18T18:36:52+05:30" level=info msg="1.     /plays/internal/short_demo/play_greenvn_post.json"
time="2022-11-18T18:36:52+05:30" level=info msg="==============================================================="
time="2022-11-18T18:36:52+05:30" level=info msg="PLAY START: play-A01-Internal-CreateAllocation-API id: A01"
time="2022-11-18T18:36:52+05:30" level=info msg="summary directory created."
time="2022-11-18T18:36:52+05:30" level=info msg="ITERATION START: 1"
time="2022-11-18T18:36:52+05:30" level=info msg="RUN START: act: act-1.001" act_api=LA_GREENVN_CREATE_ALLOCATION act_name=act-1.001 duration_in_second=5000 iteration=1 play_id=A01 play_name=play-A01-Internal-CreateAllocation-API rate_per_second=600 rpm=36000 timeout_in_ms=120000 vegeta_keepalive=true
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=514.392917ms seq=5 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=512.363165ms seq=7 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=525.036298ms seq=1 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=527.320035ms seq=0 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=515.817953ms seq=12 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=531.803641ms seq=8 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=529.867843ms seq=10 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=522.365892ms seq=15 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=536.827819ms seq=9 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=528.287808ms seq=16 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=525.035332ms seq=19 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=528.759915ms seq=17 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=534.832849ms seq=14 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=524.745738ms seq=20 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=544.883326ms seq=11 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=541.801725ms seq=13 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=544.755094ms seq=18 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=578.310408ms seq=6 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=581.597585ms seq=4 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=586.302303ms seq=2 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=594.238088ms seq=3 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=532.527474ms seq=46 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=551.823928ms seq=35 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=554.954008ms seq=34 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=542.772027ms seq=42 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=540.709972ms seq=45 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=561.235778ms seq=33 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=568.157492ms seq=31 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=578.752311ms seq=25 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=568.125688ms seq=32 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=536.459213ms seq=51 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=577.360235ms seq=28 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=574.442695ms seq=30 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=576.798399ms seq=29 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=540.704419ms seq=52 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=562.080855ms seq=40 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=536.079822ms seq=56 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=606.48089ms seq=24 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=608.341796ms seq=23 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=558.438532ms seq=53 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=603.022033ms seq=27 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=613.850044ms seq=21 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=571.091316ms seq=47 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=612.482141ms seq=22 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=587.963956ms seq=38 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=615.786546ms seq=26 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=568.234808ms seq=57 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=552.83968ms seq=70 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=565.237808ms seq=67 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=555.440823ms seq=76 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=550.609243ms seq=80 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=562.983969ms seq=83 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=602.617377ms seq=59 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=554.965477ms seq=89 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=527.061857ms seq=106 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=557.488243ms seq=90 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=560.762719ms seq=88 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=656.112638ms seq=36 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=614.225917ms seq=61 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=617.64046ms seq=60 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=533.514194ms seq=113 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=662.549454ms seq=37 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=610.375551ms seq=71 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=605.302548ms seq=77 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=507.802493ms seq=145 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=591.618189ms seq=95 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=556.842869ms seq=117 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=499.225721ms seq=152 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=491.98691ms seq=157 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=499.123209ms seq=156 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=619.839061ms seq=84 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=519.044061ms seq=146 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=579.112037ms seq=110 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=495.002208ms seq=163 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=536.922702ms seq=142 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=494.283326ms seq=168 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=607.2413ms seq=105 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=501.760889ms seq=171 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=489.726674ms seq=183 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=550.810197ms seq=158 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=581.935855ms seq=144 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=537.646141ms seq=172 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=526.317968ms seq=180 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=554.449521ms seq=165 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=655.928147ms seq=112 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=691.678757ms seq=91 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=574.325879ms seq=164 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=591.719013ms seq=154 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=514.989953ms seq=204 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=605.011591ms seq=151 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=557.993787ms seq=186 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=560.14824ms seq=190 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=714.620614ms seq=108 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=663.514799ms seq=139 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=649.232815ms seq=153 status_code=401
time="2022-11-18T18:36:52+05:30" level=error msg="401 Unauthorized" latency=679.684352ms seq=141 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=665.63358ms seq=155 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=608.354196ms seq=192 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=492.150943ms seq=262 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=598.840357ms seq=199 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=627.016285ms seq=187 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=861.864282ms seq=50 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=687.937361ms seq=159 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=570.897181ms seq=234 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=640.551383ms seq=197 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=632.72856ms seq=202 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=645.226292ms seq=195 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=694.312214ms seq=166 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=663.200479ms seq=185 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=789.48972ms seq=109 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=708.045967ms seq=160 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=790.387653ms seq=111 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=750.607857ms seq=127 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=521.420157ms seq=277 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=913.141947ms seq=44 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=584.788943ms seq=244 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=670.649636ms seq=194 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=941.630858ms seq=41 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=601.300365ms seq=252 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=436.801575ms seq=351 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=548.055783ms seq=285 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=432.834325ms seq=357 status_code=401
