time="2022-11-18T18:37:46+05:30" level=info msg="# playfiles selected for load-testing: 1"
time="2022-11-18T18:37:46+05:30" level=info msg="1.     /plays/internal/short_demo/play_greenvn_post.json"
time="2022-11-18T18:37:46+05:30" level=info msg="==============================================================="
time="2022-11-18T18:37:46+05:30" level=info msg="PLAY START: play-A01-Internal-CreateAllocation-API id: A01"
time="2022-11-18T18:37:46+05:30" level=info msg="summary directory created."
time="2022-11-18T18:37:46+05:30" level=info msg="ITERATION START: 1"
time="2022-11-18T18:37:46+05:30" level=info msg="RUN START: act: act-1.001" act_api=LA_GREENVN_CREATE_ALLOCATION act_name=act-1.001 duration_in_second=180 iteration=1 play_id=A01 play_name=play-A01-Internal-CreateAllocation-API rate_per_second=40 rpm=2400 timeout_in_ms=120000 vegeta_keepalive=true
time="2022-11-18T18:38:00+05:30" level=error msg="504 Gateway Time-out" latency=10.489090586s seq=138 status_code=504
time="2022-11-18T18:38:00+05:30" level=error msg="504 Gateway Time-out" latency=10.494939453s seq=139 status_code=504
time="2022-11-18T18:38:00+05:30" level=error msg="504 Gateway Time-out" latency=10.482027811s seq=140 status_code=504
time="2022-11-18T18:38:00+05:30" level=error msg="504 Gateway Time-out" latency=10.493815279s seq=141 status_code=504
time="2022-11-18T18:38:00+05:30" level=error msg="504 Gateway Time-out" latency=10.490312198s seq=142 status_code=504
time="2022-11-18T18:38:00+05:30" level=error msg="504 Gateway Time-out" latency=10.496951102s seq=143 status_code=504
time="2022-11-18T18:38:00+05:30" level=error msg="504 Gateway Time-out" latency=10.490239776s seq=144 status_code=504
time="2022-11-18T18:38:00+05:30" level=error msg="504 Gateway Time-out" latency=10.493363181s seq=145 status_code=504
time="2022-11-18T18:38:00+05:30" level=error msg="504 Gateway Time-out" latency=10.485653566s seq=146 status_code=504
time="2022-11-18T18:38:00+05:30" level=error msg="504 Gateway Time-out" latency=10.488820649s seq=147 status_code=504
time="2022-11-18T18:38:00+05:30" level=error msg="504 Gateway Time-out" latency=10.491378372s seq=148 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.500660976s seq=149 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.488508207s seq=150 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.494035518s seq=151 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.496553745s seq=152 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.494280133s seq=153 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.488740529s seq=154 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.489161663s seq=155 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.486972065s seq=156 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.489119688s seq=157 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.486943905s seq=158 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.491991422s seq=159 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.489646883s seq=160 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.493805475s seq=161 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.485393968s seq=162 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.493839353s seq=163 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.493417307s seq=164 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.487149327s seq=165 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.489429767s seq=166 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.490948415s seq=167 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.487142006s seq=168 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.484294265s seq=169 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.493958287s seq=170 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.492295316s seq=171 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.498115454s seq=172 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.490331914s seq=173 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.485706773s seq=174 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.488537821s seq=175 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.494499356s seq=176 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.489637102s seq=177 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.494087544s seq=178 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.486265765s seq=179 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.493675512s seq=180 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.491427968s seq=181 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.496806227s seq=182 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.484631058s seq=183 status_code=504
time="2022-11-18T18:38:01+05:30" level=error msg="504 Gateway Time-out" latency=10.497005873s seq=184 status_code=504
